emerge,saleintended2,ebitbeforedummy,equitybefore,manufacturing,prime1yearbeffile,lnhqtohqctcity,prepack3,diploanres,commcred24,lnassetscurrdollar,lnjudgeexp,deny,judgeexpdummy
0,0,1,.64604539,0,6,2.8903718,0,1,1,6.3885612,0,0,0
0,1,0,-.37079424,1,6,1.6094379,0,1,1,6.0038872,1.6094379,1,0
1,0,0,-.19663997,1,6,2.5649493,2,0,0,7.5234814,0,1,0
1,0,0,-.6097675,1,6,2.3025851,1,,,5.7037826,0,0,0
1,0,1,-.19754601,0,6,4.0604429,2,0,0,6.8373327,.69314718,1,0
0,0,0,.16942863,0,6,2.9444389,0,0,1,5.7589016,0,0,0
1,0,1,.0005718774,0,6,0,0,1,0,5.9375362,1.0986123,0,0
1,0,0,.38183668,0,6,2.7725887,0,1,0,6.4393506,.69314718,0,0
1,0,0,.1601066,0,6,0,2,0,0,6.0473723,1.0986123,1,0
1,0,1,-.1446448,0,6,0,2,1,0,6.4313312,2.8332133,1,1
0,0,1,.22430116,0,6,2.5649493,0,1,1,6.2595816,0,0,0
1,0,1,-.35148799,0,6,2.8903718,1,1,1,7.7012,1.3862944,1,0
1,0,1,-.16884504,0,6.75,0,2,0,0,6.7487597,0,0,0
1,0,1,.19400465,1,6.75,2.9444389,0,0,1,8.7656145,0,0,0
1,1,0,.19252527,0,6.75,2.4849067,1,1,1,6.8167357,2.8903718,1,1
1,0,0,-1.4546952,0,7.25,2.4849067,0,1,1,5.9375362,1.9459101,1,1
1,0,1,.18512657,0,7.25,2.5649493,0,1,1,7.2320104,2.8903718,1,1
1,0,0,-.16744152,0,7.25,0,2,0,0,8.2687321,0,0,0
1,0,,.12058794,1,7.25,0,0,1,1,5.7037826,1.9459101,1,1
1,0,1,-.56803238,0,7.25,2.9957323,0,1,1,5.7300997,3.1780539,1,1
0,0,1,.29360592,0,7.75,2.5649493,0,1,,7.488853,2.3978953,1,1
1,0,1,.1670301,1,7.75,0,0,1,1,5.8777356,1.0986123,1,0
1,0,1,-.03215766,1,7.75,0,0,0,1,5.7004437,,1,1
1,0,1,.43275899,0,7.75,0,0,1,1,7.2348986,2.1972246,1,1
0,1,0,-.41133654,0,7.75,0,0,0,0,5.4930615,1.0986123,0,0
0,1,0,.16025642,0,8.5,3.6635616,0,0,1,6.5889263,0,1,0
1,0,1,-.38873571,1,8.5,0,1,0,1,6.4769726,2.9957323,1,1
0,0,,.05535274,0,8.5,3.583519,1,1,1,6.0137153,3.5263605,1,1
0,0,1,.098181821,0,8.5,0,0,1,1,6.7440591,3.2958369,1,1
0,1,0,-.013854293,0,9,0,0,0,1,6.4150968,.69314718,0,0
1,0,0,-.30833229,0,9,0,1,1,0,6.8617115,1.7917595,1,1
1,0,1,.023094984,1,9,0,2,1,0,5.8888779,3.0445225,1,1
0,0,0,.2448397,0,8.75,0,0,1,1,6.1506028,0,1,0
0,1,0,-.12458013,0,8.75,2.0794415,0,0,1,6.0038872,3.1354942,1,1
0,0,1,.25354069,0,8.75,2.9444389,0,1,1,7.7790484,3.2188759,1,1
1,1,1,.23966856,1,8.75,0,1,1,1,7.509335,2.3978953,1,1
0,1,0,.3245883,0,8.75,0,0,1,1,6.9865665,.69314718,0,0
1,0,1,-.44774684,1,8.75,4.4426513,2,0,0,5.749393,3.0910425,1,1
1,0,,-.58945155,0,8.75,0,0,1,1,5.7960577,3.3322046,1,1
0,0,1,.22934873,1,8.5,0,1,1,0,7.5082388,0,1,0
0,1,1,.21282667,0,8.5,2.7080503,1,0,1,6.6489844,2.3025851,1,1
0,0,0,.51283067,0,8.25,2.6390574,0,1,1,7.4330754,2.5649493,1,1
1,0,0,-.050671827,1,8.25,3.7376697,0,1,1,6.8243737,.69314718,1,0
1,0,1,-.7274487,0,8.25,0,1,1,0,7.8264432,0,0,0
1,0,0,.1246157,0,8.25,0,0,1,1,8.8880672,2.8903718,1,1
1,0,0,.027732464,0,8.25,0,0,1,1,6.8134446,2.8332133,1,1
